    book                variant |     CAGR      DD    PF     N   Shp |  IS Shp OOS Shp
    IVOL   base 3.0x2.0 hold 7d |    15.6%   -8.0%  1.61   201  1.41 |    2.05    1.07
    IVOL    HAR vol-scaled stop |    14.0%   -9.4%  1.47   204  1.19 |    2.14    0.67
    IVOL       conviction-sized |    15.6%   -8.0%  1.61   201  1.41 |    2.05    1.07
    IVOL       conviction cap 2 |    15.6%   -8.0%  1.61   201  1.41 |    2.05    1.07
    IVOL                hold 3d |     8.2%  -13.5%  1.30   247  0.87 |    1.79    0.38
    IVOL               hold 14d |    12.1%   -9.1%  1.48   178  1.09 |    1.79    0.72
    IVOL               hold 30d |    12.8%   -8.1%  1.52   171  1.14 |    1.78    0.80

    CMPX   base 3.0x2.0 hold 7d |    10.9%  -16.4%  1.46   369  0.99 |    0.54    1.64
    CMPX    HAR vol-scaled stop |     6.7%  -14.8%  1.26   371  0.62 |    0.27    1.11
    CMPX       conviction-sized |    10.9%  -16.4%  1.46   369  0.99 |    0.54    1.64
    CMPX       conviction cap 2 |    10.9%  -16.4%  1.46   369  0.99 |    0.54    1.64
    CMPX                hold 3d |     7.6%  -13.5%  1.32   441  0.79 |    0.44    1.27
    CMPX               hold 14d |    11.2%  -15.2%  1.46   345  0.99 |    0.50    1.71
    CMPX               hold 30d |     9.5%  -14.6%  1.39   337  0.85 |    0.28    1.67

  BTCDOM   base 3.0x2.0 hold 7d |    13.1%  -10.4%  1.38   536  1.11 |    1.33    0.72
  BTCDOM    HAR vol-scaled stop |    10.7%  -16.2%  1.32   542  0.87 |    0.83    0.90
  BTCDOM       conviction-sized |    13.1%  -10.4%  1.38   536  1.11 |    1.33    0.72
  BTCDOM       conviction cap 2 |    13.1%  -10.4%  1.38   536  1.11 |    1.33    0.72
  BTCDOM                hold 3d |    10.9%  -12.6%  1.32   657  1.01 |    1.13    0.81
  BTCDOM               hold 14d |    14.6%  -10.8%  1.44   486  1.20 |    1.37    0.96 *
  BTCDOM               hold 30d |    14.7%  -11.2%  1.44   481  1.21 |    1.38    0.96 *

    FLOW   base 3.0x2.0 hold 7d |    12.6%  -11.6%  1.61   229  1.22 |    1.16    1.35
    FLOW    HAR vol-scaled stop |     9.5%  -13.0%  1.41   233  0.88 |    0.87    0.93
    FLOW       conviction-sized |    12.6%  -11.6%  1.61   229  1.22 |    1.16    1.35
    FLOW       conviction cap 2 |    12.6%  -11.6%  1.61   229  1.22 |    1.16    1.35
    FLOW                hold 3d |     8.2%  -10.9%  1.38   315  0.94 |    1.17    0.61
    FLOW               hold 14d |     9.6%  -15.3%  1.48   181  0.91 |    1.01    0.82
    FLOW               hold 30d |     9.3%  -18.3%  1.47   163  0.89 |    1.03    0.73

