                                      subset  size     CAGR      DD   Shp   Clm   medDD  P>20%
                                 BTC+ETH+ZEC   1.8    89.8%  -24.0%  2.51  3.74  -18.8%    40%
                             BTC+ETH+ZEC+XRP   2.0    89.3%  -20.0%  2.56  4.47  -18.0%    33%
                                 BTC+ZEC+XRP   1.8    84.0%  -17.3%  2.47  4.85  -17.2%    27%
                                     BTC+ZEC   1.4    76.3%  -21.2%  2.37  3.60  -17.4%    30%
                         BTC+ETH+SOL+ZEC+XRP   2.0    71.1%  -17.0%  2.27  4.19  -18.2%    34%
                                 BTC+ETH+XRP   1.8    70.0%  -19.3%  2.22  3.63  -18.5%    38%
                             BTC+ETH+SOL+ZEC   1.8    66.7%  -22.0%  2.19  3.03  -18.4%    39%
                                         BTC   1.2    65.7%  -15.4%  2.14  4.26  -18.7%    40%
                                     BTC+XRP   1.6    65.0%  -18.2%  2.15  3.57  -17.6%    32%
                             BTC+SOL+ZEC+XRP   1.8    62.9%  -21.5%  2.15  2.93  -17.5%    30%
                                     BTC+ETH   1.4    61.1%  -22.4%  2.18  2.73  -17.7%    32%
                                 BTC+SOL+ZEC   1.6    59.4%  -28.6%  2.02  2.08  -18.9%    41%
                             BTC+ETH+SOL+XRP   1.8    53.3%  -17.4%  1.90  3.07  -18.9%    42%
                                 BTC+SOL+XRP   1.6    44.5%  -19.4%  1.73  2.30  -18.6%    40%
                                 BTC+ETH+SOL   1.4    41.8%  -16.6%  1.78  2.52  -17.6%    32%
                                     BTC+SOL   1.2    34.0%  -24.1%  1.53  1.41  -19.0%    43%
